id,titel,tijd,datum,categorie
101,Nieuwe wisseltentoonstelling in het Efteling Museum,22,2019-07-10,reportage
102,Wolf tegen Lam,98,2019-07-15,nieuws
103,Reacties van luisteraars,42,2019-07-18,achtergrond
104,Meer fotografie in de Efteling met Kris Van de Sande,47,2019-07-22,interview
105,Jullie favoriete sprookjes (en reacties),28,2019-07-25,achtergrond
106,Een rondje door de Wereld van de Efteling,142,2019-07-29,achtergrond
107,Efteling-bieren,86,2019-08-05,achtergrond
108,"Twinkel, twinkel, yeah, yeah, yeah!",158,2019-08-12,nieuws
109,Hele kleine puntjes,52,2019-08-19,nieuws
110,Jullie favoriete details,34,2019-08-21,achtergrond
111,De mooiste gebouwen in de Efteling,67,2019-08-26,achtergrond
111,Watergate,86,2019-09-02,nieuws
113,Afscheid van de Bob,68,2019-09-04,reportage
114,De magie van Verticaal gaan,74,2019-09-09,achtergrond
115,Anton Koekblik,98,2019-09-16,nieuws
116,Niet-gerealiseerde Efteling-projecten (deel 1),86,2019-09-23,achtergrond
117,De opening van De zes Zwanen,74,2019-09-30,reportage
118,Tussen de bielzen en de zitkuil,121,2019-10-07,nieuws
119,Animatronics in de Efteling,78,2019-10-14,achtergrond
120,Winterballen,96,2019-10-21,nieuws
121,Niet-gerealiseerde Efteling-projecten (deel 2),68,2019-10-28,achtergrond
122,Max + Music,114,2019-11-04,nieuws
123,Efteling en duurzaamheid met Wyke Smit,65,2019-11-11,interview
124,Polles Worsten Imperium,110,2019-11-18,nieuws
125,Niet-gerealiseerde Efteling-projecten (deel 3),67,2019-11-25,achtergrond
126,De Uithongerige Machinist,105,2019-12-02,nieuws
127,De opening van Fabula,124,2019-12-09,reportage
128,Herauten Horror,101,2019-12-16,nieuws
129,Onze favoriete karakters in de Efteling,58,2019-12-23,achtergrond
130,Reacties van luisteraars,60,2019-12-25,achtergrond
131,Een ode aan het Waterorgel,87,2019-12-30,achtergrond
132,Hotel de Bottle,45,2020-01-01,achtergrond
133,Aldimatronics,127,2020-01-06,nieuws
134,De magie van het verzamelen,89,2020-01-13,achtergrond
135,Weet je wat er ook viral gaat?,77,2020-01-20,nieuws
136,Bosrijk audio-tour,59,2020-01-27,achtergrond
137,In gesprek met Erik van den Brand,59,2020-02-03,interview
138,Teer-aan-m’n-schoen,123,2020-02-10,nieuws
139,’t Loonsche Land audio-tour,49,2020-02-17,achtergrond
140,Een Halve Maen weg zitten peuzelen,102,2020-02-24,nieuws
141,In gesprek met Cees Kikstra,100,2020-03-02,interview
142,Hoeveelste was je nu geworden?,123,2020-03-09,nieuws
143,Max + Moritz bouwplaats-tour,56,2020-03-10,reportage
144,Klassieke muziek in de Efteling,69,2020-03-16,achtergrond
145,Coronaval Festival,101,2020-03-23,nieuws
146,Het Efteling Golfpark,72,2020-03-30,achtergrond
147,Jullie favoriete karakters in de Efteling,31,2020-04-01,achtergrond
148,Storm in plaswater,123,2020-04-06,nieuws
149,Pieckblauwe luchten,100,2020-04-13,achtergrond
150,Anderhalve meter ijs,130,2020-04-20,nieuws
151,Werken bij de Efteling,82,2020-04-27,nieuws
152,Corny Island,79,2020-05-04,nieuws
153,Reacties van luisteraars,57,2020-05-11,achtergrond
154,TjoepTjoep,141,2020-05-18,nieuws
155,Efteling boeken,153,2020-05-25,achtergrond
156,De Grote Heropeningsshow,166,2020-06-01,nieuws
157,Ouder en wijzer?,60,2020-06-08,achtergrond
158,Verstopte bestemmingen,138,2020-06-15,nieuws
159,Max & Moritz,113,2020-06-22,reportage
160,De vlieg is nog aan het winnen,117,2020-06-29,nieuws
161,Reacties van luisteraars,70,2020-07-06,achtergrond
162,IJskoffie klinkt spannender dan Drenthe,105,2020-07-13,nieuws
163,Onze masterplannen voor de Efteling,108,2020-07-20,achtergrond
164,Volgens mij was de LSD in de aanbieding,103,2020-07-27,nieuws
165,Jullie Pieckblauwe luchten,77,2020-08-03,achtergrond
166,Wat is écht Eftelings?,81,2020-08-10,achtergrond
167,Een ode aan het Diorama,70,2020-08-17,achtergrond
168,De geschiedenis van de Stoomcarrousel,75,2020-08-24,achtergrond
169,De raad der Dumbasses,139,2020-08-31,nieuws
170,Afscheid van Bart de Boer,44,2020-09-03,achtergrond
171,Efteling-tatoeages met Bram Elstak,50,2020-09-07,interview
172,Meesters van klefheid,88,2020-09-14,nieuws
173,Anton Pieck en het Anton Pieck museum,135,2020-09-21,interview
174,Paar kuub Piecks groen,129,2020-09-28,nieuws
175,De Glazen Bol,71,2020-10-05,achtergrond
176,Aquanura met een zachte G,72,2020-10-09,reportage
177,IJspegels in je bakkes,103,2020-10-12,nieuws
178,Nieuwsflitsbonusaflevering,35,2020-10-16,nieuws
179,Het Keienspoor met Ivo Südmeier,101,2020-10-19,achtergrond
180,Het Efteling Hotel,100,2020-10-26,achtergrond
181,Heb je last van stemproblemen?,163,2020-11-02,nieuws
182,De financiën van de Efteling (deel 1),146,2020-11-09,achtergrond
183,Kernsplijting in de fontein,101,2020-11-16,nieuws
184,Theme Park Science achter de schermen bij de Pagode,51,2020-11-18,achtergrond
185,In gesprek met Ronald van der Zijl,109,2020-11-23,interview
186,Genoeg lichtpuntjes om naar uit te kijken,125,2020-11-30,nieuws
187,Polka Marina,29,2020-12-01,achtergrond
188,De financiën van de Efteling (deel 2),163,2020-12-07,achtergrond
189,Ze lijken familie van Spider-Man,128,2020-12-14,nieuws
190,Villa Pardoes,122,2020-12-21,interview
191,Als warme muizen over de toonbank,96,2020-12-28,nieuws
192,Een plattegrond uit 1978,62,2021-01-04,achtergrond
193,En een aspirientje,90,2021-01-11,nieuws
194,De toiletten van de Efteling,98,2021-01-18,achtergrond
195,De wolkenkrabber van Vrouw Holle,108,2021-01-25,nieuws
196,Efteling en media (deel 1),137,2021-02-01,achtergrond
197,Jij bent de nuchtere,113,2021-02-08,nieuws
198,In gesprek met Reinoud van Assendelft de Coningh,156,2021-02-15,interview
199,Achter de schermen bij Kleine Boodschap,153,2021-02-17,achtergrond
200,"Om tafel met Efteling-ontwerpers Sander, Jeroen en Ronald",106,2021-02-22,interview
201,Bij een bruggetje heb je ook hout onder je,104,2021-03-01,nieuws
202,Wie is de Mol in de Efteling,86,2021-03-04,achtergrond
203,In gesprek met Pieter Cornelis,161,2021-03-08,interview
204,Opa Tim,91,2021-03-15,nieuws
